phenotype,genetic_model_type,group,n_test,test_result,full_result_test,Data Set,Model Complexity
DBP_V1,xgboost,Overall,15019,0.012925073,0.137034042,MGB Biobank,Model 1
DBP_V1,xgboost,AA,689,0.015792471,0.104417228,MGB Biobank,Model 1
DBP_V1,xgboost,AsA,337,0.017092468,0.174358604,MGB Biobank,Model 1
DBP_V1,xgboost,EA,12704,0.019647463,0.143073298,MGB Biobank,Model 1
DBP_V1,xgboost,Overall,15019,0.016264602,0.139953679,MGB Biobank,Model 2
DBP_V1,xgboost,AA,689,-0.001791056,0.088417042,MGB Biobank,Model 2
DBP_V1,xgboost,AsA,337,0.056081918,0.207109705,MGB Biobank,Model 2
DBP_V1,xgboost,EA,12704,0.016697086,0.140494371,MGB Biobank,Model 2
DBP_V1,xgboost,Overall,15019,0.013377114,0.137429246,MGB Biobank,Model 3
DBP_V1,xgboost,AA,689,0.003815301,0.093518564,MGB Biobank,Model 3
DBP_V1,xgboost,AsA,337,0.03722184,0.191267257,MGB Biobank,Model 3
DBP_V1,xgboost,EA,12704,0.015855324,0.139758587,MGB Biobank,Model 3
DBP_V1,linear regression,Overall,15019,0.010879538,0.1352457,MGB Biobank,Model 1
DBP_V1,linear regression,AA,689,0.006629852,0.096079674,MGB Biobank,Model 1
DBP_V1,linear regression,AsA,337,0.059615609,0.210078002,MGB Biobank,Model 1
DBP_V1,linear regression,EA,12704,0.013434847,0.137642846,MGB Biobank,Model 1
DBP_V1,linear regression,Overall,15019,0.011061722,0.135404978,MGB Biobank,Model 2
DBP_V1,linear regression,AA,689,0.00222457,0.092071074,MGB Biobank,Model 2
DBP_V1,linear regression,AsA,337,0.060648789,0.210945872,MGB Biobank,Model 2
DBP_V1,linear regression,EA,12704,0.011624875,0.136060749,MGB Biobank,Model 2
DBP_V1,linear regression,Overall,15019,-0.001241546,0.12464865,MGB Biobank,Model 3
DBP_V1,linear regression,AA,689,0.01384528,0.102645376,MGB Biobank,Model 3
DBP_V1,linear regression,AsA,337,0.05989633,0.210313807,MGB Biobank,Model 3
DBP_V1,linear regression,EA,12704,-0.002458352,0.123750592,MGB Biobank,Model 3
