phenotype,genetic_model_type,group,n_train,n_test,train_result_xgb,test_result_xgb,full_result_train,full_result_test,model
DBP_V1,xgboost,Overall,43472,18768,0.041589503,0.047261099,0.194256286,0.212580233,model_1
DBP_V1,xgboost,AA,10889,3657,0.018813172,0.007476174,0.145852677,0.229278046,model_1
DBP_V1,xgboost,AsA,4220,403,0.049572821,0.010818484,0.213969976,0.128475494,model_1
DBP_V1,xgboost,EA,19786,10877,0.068619621,0.073800756,0.191343367,0.197680582,model_1
DBP_V1,xgboost,HA,8093,3831,0.014281807,0.015399989,0.144943566,0.190135768,model_1
DBP_V1,xgboost,Overall,43472,18768,0.045232482,0.049850941,0.197318969,0.214720686,model_2
DBP_V1,xgboost,AA,10889,3657,0.020544224,0.008987573,0.147359601,0.230451688,model_2
DBP_V1,xgboost,AsA,4220,403,0.056261497,0.030015739,0.219501699,0.145389354,model_2
DBP_V1,xgboost,EA,19786,10877,0.069454285,0.071585711,0.192068051,0.195761801,model_2
DBP_V1,xgboost,HA,8093,3831,0.025188978,0.030310474,0.154404937,0.202400108,model_2
DBP_V1,xgboost,Overall,43472,18768,0.065415995,0.056541511,0.214287417,0.22025031,model_3
DBP_V1,xgboost,AA,10889,3657,0.04551684,0.01636424,0.169098878,0.236179873,model_3
DBP_V1,xgboost,AsA,4220,403,0.07930467,0.035008103,0.238559052,0.149787908,model_3
DBP_V1,xgboost,EA,19786,10877,0.079574398,0.072536123,0.200854683,0.196585095,model_3
DBP_V1,xgboost,HA,8093,3831,0.057331848,0.052546132,0.182287114,0.22068963,model_3
