phenotype,genetic_model_type,group,n_train,n_test,train_result,test_result,full_result_train,full_result_test,model
SBP_V1,linear regression,Overall,43556,18748,0.027639184,0.044339101,0.331765366,0.331705869,model_1
SBP_V1,linear regression,AA,10914,3674,0.005309337,0.00789257,0.305513488,0.33918201,model_1
SBP_V1,linear regression,AsA,4281,374,0.025059136,0.014004075,0.269135152,0.206875564,model_1
SBP_V1,linear regression,EA,19853,10823,0.055366442,0.06949312,0.333113375,0.338875102,model_1
SBP_V1,linear regression,HA,8027,3877,0.00235454,0.008826488,0.318010183,0.282958738,model_1
SBP_V1,linear regression,Overall,43556,18748,0.031630495,0.048068712,0.334508311,0.334313988,model_2
SBP_V1,linear regression,AA,10914,3674,0.008141036,0.012157918,0.307490562,0.342023051,model_2
SBP_V1,linear regression,AsA,4281,374,0.033773344,0.020252265,0.275667762,0.21190154,model_2
SBP_V1,linear regression,EA,19853,10823,0.055525363,0.071137922,0.333225569,0.340043734,model_2
SBP_V1,linear regression,HA,8027,3877,0.012715929,0.017914551,0.325093222,0.289533284,model_2
SBP_V1,linear regression,Overall,43556,18748,0.043114845,0.064034119,0.34240069,0.345478605,model_3
SBP_V1,linear regression,AA,10914,3674,0.016711963,0.032371596,0.313474727,0.355486877,model_3
SBP_V1,linear regression,AsA,4281,374,0.048638223,0.038352636,0.286811225,0.226461283,model_3
SBP_V1,linear regression,EA,19853,10823,0.059323186,0.078443398,0.335906734,0.345234272,model_3
SBP_V1,linear regression,HA,8027,3877,0.042102111,0.056712758,0.345181598,0.317600938,model_3
