"model_name","model_level","model_type","group","phenotype","CI_lower_bound","PVE","CI_upper_bound"
"XGBoost","Level 1","Genetic","Overall","DBP","0.59%","1.12%","1.96%"
"XGBoost","Level 1","Genetic","Black","DBP","-5.08%","-2.36%","0.62%"
"XGBoost","Level 1","Genetic","Asian","DBP","0.80%","2.61%","4.54%"
"XGBoost","Level 1","Genetic","White","DBP","1.56%","2.27%","3.18%"
"XGBoost","Level 2","Genetic","Overall","DBP","1.02%","1.79%","2.69%"
"XGBoost","Level 2","Genetic","Black","DBP","-4.46%","-1.87%","1.02%"
"XGBoost","Level 2","Genetic","Asian","DBP","0.61%","4.17%","7.20%"
"XGBoost","Level 2","Genetic","White","DBP","1.16%","2.08%","3.01%"
"XGBoost","Level 3","Genetic","Overall","DBP","1.36%","2.03%","2.92%"
"XGBoost","Level 3","Genetic","Black","DBP","-4.07%","-1.23%","1.60%"
"XGBoost","Level 3","Genetic","Asian","DBP","-2.97%","2.26%","6.83%"
"XGBoost","Level 3","Genetic","White","DBP","1.59%","2.32%","3.32%"
"Linear Regression","Level 1","Genetic","Overall","DBP","2.46%","3.02%","3.72%"
"Linear Regression","Level 1","Genetic","Black","DBP","-2.65%","-0.70%","1.41%"
"Linear Regression","Level 1","Genetic","Asian","DBP","2.03%","4.61%","7.44%"
"Linear Regression","Level 1","Genetic","White","DBP","2.54%","3.19%","3.96%"
"Linear Regression","Level 2","Genetic","Overall","DBP","2.54%","3.17%","3.87%"
"Linear Regression","Level 2","Genetic","Black","DBP","-2.80%","-0.70%","1.82%"
"Linear Regression","Level 2","Genetic","Asian","DBP","1.94%","4.50%","7.02%"
"Linear Regression","Level 2","Genetic","White","DBP","2.61%","3.34%","4.11%"
"Linear Regression","Level 3","Genetic","Overall","DBP","2.83%","3.51%","4.18%"
"Linear Regression","Level 3","Genetic","Black","DBP","-2.88%","-0.36%","2.02%"
"Linear Regression","Level 3","Genetic","Asian","DBP","1.79%","5.14%","8.04%"
"Linear Regression","Level 3","Genetic","White","DBP","2.92%","3.68%","4.43%"
"XGBoost","Level 1","Genetic","Overall","SBP","1.23%","1.81%","2.46%"
"XGBoost","Level 1","Genetic","Black","SBP","-0.26%","0.72%","2.48%"
"XGBoost","Level 1","Genetic","Asian","SBP","1.01%","3.85%","7.51%"
"XGBoost","Level 1","Genetic","White","SBP","1.54%","2.21%","2.91%"
"XGBoost","Level 2","Genetic","Overall","SBP","2.07%","2.66%","3.29%"
"XGBoost","Level 2","Genetic","Black","SBP","-2.15%","0.74%","3.48%"
"XGBoost","Level 2","Genetic","Asian","SBP","3.79%","6.39%","10.10%"
"XGBoost","Level 2","Genetic","White","SBP","2.04%","2.71%","3.42%"
"XGBoost","Level 3","Genetic","Overall","SBP","2.18%","2.87%","3.57%"
"XGBoost","Level 3","Genetic","Black","SBP","-1.52%","0.64%","2.54%"
"XGBoost","Level 3","Genetic","Asian","SBP","3.50%","6.17%","9.55%"
"XGBoost","Level 3","Genetic","White","SBP","2.13%","2.92%","3.80%"
"Linear Regression","Level 1","Genetic","Overall","SBP","2.08%","2.66%","3.26%"
"Linear Regression","Level 1","Genetic","Black","SBP","-0.35%","1.61%","4.37%"
"Linear Regression","Level 1","Genetic","Asian","SBP","2.49%","4.50%","7.46%"
"Linear Regression","Level 1","Genetic","White","SBP","2.09%","2.85%","3.55%"
"Linear Regression","Level 2","Genetic","Overall","SBP","2.40%","3.06%","3.67%"
