"model_name","model_level","model_type","group","phenotype","CI_lower_bound","PVE","CI_upper_bound"
"XGBoost","Level 1","Genetic","Overall","DBP","-2.90%","-1.99%","-1.09%"
"XGBoost","Level 1","Genetic","Black","DBP","-5.55%","-2.51%","0.22%"
"XGBoost","Level 1","Genetic","Asian","DBP","-0.32%","1.49%","3.76%"
"XGBoost","Level 1","Genetic","White","DBP","0.25%","1.15%","2.10%"
"XGBoost","Level 2","Genetic","Overall","DBP","-0.07%","0.67%","1.47%"
"XGBoost","Level 2","Genetic","Black","DBP","-4.64%","-1.90%","0.84%"
"XGBoost","Level 2","Genetic","Asian","DBP","-0.96%","2.83%","6.04%"
"XGBoost","Level 2","Genetic","White","DBP","0.69%","1.40%","2.37%"
"XGBoost","Level 3","Genetic","Overall","DBP","1.45%","2.23%","2.93%"
"XGBoost","Level 3","Genetic","Black","DBP","-3.23%","-0.77%","1.57%"
"XGBoost","Level 3","Genetic","Asian","DBP","-1.79%","2.74%","6.62%"
"XGBoost","Level 3","Genetic","White","DBP","1.25%","2.10%","2.93%"
"Linear Regression","Level 1","Genetic","Overall","DBP","9.52%","10.73%","12.16%"
"Linear Regression","Level 1","Genetic","Black","DBP","5.39%","9.48%","12.34%"
"Linear Regression","Level 1","Genetic","Asian","DBP","10.36%","16.17%","21.86%"
"Linear Regression","Level 1","Genetic","White","DBP","6.88%","8.01%","9.23%"
"Linear Regression","Level 2","Genetic","Overall","DBP","9.64%","10.87%","12.32%"
"Linear Regression","Level 2","Genetic","Black","DBP","5.38%","9.48%","12.32%"
"Linear Regression","Level 2","Genetic","Asian","DBP","10.22%","16.09%","21.90%"
"Linear Regression","Level 2","Genetic","White","DBP","6.97%","8.15%","9.37%"
"Linear Regression","Level 3","Genetic","Overall","DBP","9.88%","11.16%","12.56%"
"Linear Regression","Level 3","Genetic","Black","DBP","4.86%","9.77%","13.08%"
"Linear Regression","Level 3","Genetic","Asian","DBP","10.58%","16.60%","22.62%"
"Linear Regression","Level 3","Genetic","White","DBP","7.22%","8.46%","9.73%"
"XGBoost","Level 1","Genetic","Overall","SBP","-1.92%","-1.20%","-0.62%"
"XGBoost","Level 1","Genetic","Black","SBP","-2.73%","-1.33%","-0.25%"
"XGBoost","Level 1","Genetic","Asian","SBP","-2.10%","1.49%","5.13%"
