"model_name","model_level","model_type","group","phenotype","CI_lower_bound","PVE","CI_upper_bound"
"XGBoost","Level 1","Genetic","Overall","DBP","4.30%","4.70%","5.20%"
"XGBoost","Level 1","Genetic","Black","DBP","0.30%","0.80%","1.40%"
"XGBoost","Level 1","Genetic","Asian","DBP","-1.90%","0.90%","4.20%"
"XGBoost","Level 1","Genetic","White","DBP","6.60%","7.30%","8.20%"
"XGBoost","Level 1","Genetic","Hispanic/Latino","DBP","0.90%","1.50%","2.00%"
"XGBoost","Level 2","Genetic","Overall","DBP","3.90%","4.60%","5.10%"
"XGBoost","Level 2","Genetic","Black","DBP","-0.50%","0.30%","1.20%"
"XGBoost","Level 2","Genetic","Asian","DBP","0.10%","2.90%","5.90%"
"XGBoost","Level 2","Genetic","White","DBP","5.70%","6.70%","7.60%"
"XGBoost","Level 2","Genetic","Hispanic/Latino","DBP","1.70%","2.70%","3.50%"
"XGBoost","Level 3","Genetic","Overall","DBP","5.00%","5.60%","6.20%"
"XGBoost","Level 3","Genetic","Black","DBP","0.60%","1.70%","2.40%"
"XGBoost","Level 3","Genetic","Asian","DBP","0.60%","3.40%","6.60%"
"XGBoost","Level 3","Genetic","White","DBP","6.40%","7.20%","8.10%"
"XGBoost","Level 3","Genetic","Hispanic/Latino","DBP","3.90%","5.00%","5.80%"
"XGBoost","csx","Genetic","Overall","DBP","2.50%","2.70%","3.20%"
"XGBoost","csx","Genetic","Black","DBP","0.60%","1.70%","2.00%"
"XGBoost","csx","Genetic","Asian","DBP","0.80%","2.70%","4.10%"
"XGBoost","csx","Genetic","White","DBP","2.90%","3.20%","3.90%"
"XGBoost","csx","Genetic","Hispanic/Latino","DBP","1.70%","2.50%","3.20%"
"Linear Regression","Level 1","Genetic","Overall","DBP","4.00%","4.40%","4.80%"
"Linear Regression","Level 1","Genetic","Black","DBP","0.30%","0.90%","1.90%"
"Linear Regression","Level 1","Genetic","Asian","DBP","0.20%","1.80%","3.90%"
"Linear Regression","Level 1","Genetic","White","DBP","6.20%","6.80%","7.50%"
"Linear Regression","Level 1","Genetic","Hispanic/Latino","DBP","-0.10%","1.10%","1.90%"
"Linear Regression","Level 2","Genetic","Overall","DBP","4.10%","4.50%","5.00%"
"Linear Regression","Level 2","Genetic","Black","DBP","0.50%","1.20%","2.30%"
"Linear Regression","Level 2","Genetic","Asian","DBP","1.10%","2.70%","5.10%"
"Linear Regression","Level 2","Genetic","White","DBP","5.90%","6.50%","7.30%"
"Linear Regression","Level 2","Genetic","Hispanic/Latino","DBP","1.30%","2.40%","3.30%"
"Linear Regression","Level 3","Genetic","Overall","DBP","4.60%","5.20%","5.70%"
"Linear Regression","Level 3","Genetic","Black","DBP","1.20%","2.20%","3.30%"
"Linear Regression","Level 3","Genetic","Asian","DBP","1.30%","3.40%","6.10%"
"Linear Regression","Level 3","Genetic","White","DBP","5.80%","6.60%","7.40%"
"Linear Regression","Level 3","Genetic","Hispanic/Latino","DBP","3.00%","4.30%","5.10%"
"Linear Regression","csx","Genetic","Overall","DBP","2.50%","2.90%","3.30%"
"Linear Regression","csx","Genetic","Black","DBP","0.60%","1.40%","2.20%"
"Linear Regression","csx","Genetic","Asian","DBP","0.60%","2.60%","4.50%"
"Linear Regression","csx","Genetic","White","DBP","3.00%","3.60%","4.20%"
"Linear Regression","csx","Genetic","Hispanic/Latino","DBP","1.50%","2.30%","3.10%"
"XGBoost","Level 1","Genetic","Overall","SBP","4.40%","4.80%","5.40%"
"XGBoost","Level 1","Genetic","Black","SBP","0.20%","0.70%","1.20%"
"XGBoost","Level 1","Genetic","Asian","SBP","-0.30%","1.60%","4.00%"
"XGBoost","Level 1","Genetic","White","SBP","7.10%","7.70%","8.60%"
"XGBoost","Level 1","Genetic","Hispanic/Latino","SBP","0.00%","0.90%","1.60%"
"XGBoost","Level 2","Genetic","Overall","SBP","4.80%","5.10%","5.70%"
"XGBoost","Level 2","Genetic","Black","SBP","0.60%","1.10%","1.70%"
"XGBoost","Level 2","Genetic","Asian","SBP","0.40%","2.40%","4.80%"
"XGBoost","Level 2","Genetic","White","SBP","7.10%","7.60%","8.60%"
"XGBoost","Level 2","Genetic","Hispanic/Latino","SBP","1.20%","2.00%","2.70%"
"XGBoost","Level 3","Genetic","Overall","SBP","5.60%","6.00%","6.60%"
"XGBoost","Level 3","Genetic","Black","SBP","2.20%","2.60%","3.10%"
"XGBoost","Level 3","Genetic","Asian","SBP","1.40%","3.80%","6.30%"
"XGBoost","Level 3","Genetic","White","SBP","7.20%","7.80%","8.70%"
"XGBoost","Level 3","Genetic","Hispanic/Latino","SBP","3.80%","4.60%","5.60%"
"XGBoost","csx","Genetic","Overall","SBP","2.80%","3.20%","3.70%"
"XGBoost","csx","Genetic","Black","SBP","1.00%","1.60%","2.10%"
"XGBoost","csx","Genetic","Asian","SBP","0.50%","2.80%","4.80%"
"XGBoost","csx","Genetic","White","SBP","3.40%","4.10%","4.70%"
"XGBoost","csx","Genetic","Hispanic/Latino","SBP","1.50%","2.20%","3.00%"
"Linear Regression","Level 1","Genetic","Overall","SBP","4.10%","4.40%","4.90%"
"Linear Regression","Level 1","Genetic","Black","SBP","0.10%","0.80%","1.50%"
"Linear Regression","Level 1","Genetic","Asian","SBP","-0.20%","1.40%","3.40%"
"Linear Regression","Level 1","Genetic","White","SBP","6.40%","7.00%","7.70%"
"Linear Regression","Level 1","Genetic","Hispanic/Latino","SBP","-0.10%","0.90%","1.70%"
"Linear Regression","Level 2","Genetic","Overall","SBP","4.40%","4.80%","5.40%"
"Linear Regression","Level 2","Genetic","Black","SBP","0.60%","1.20%","2.10%"
"Linear Regression","Level 2","Genetic","Asian","SBP","-0.20%","2.00%","4.30%"
"Linear Regression","Level 2","Genetic","White","SBP","6.60%","7.10%","8.00%"
"Linear Regression","Level 2","Genetic","Hispanic/Latino","SBP","0.70%","1.80%","2.70%"
"Linear Regression","Level 3","Genetic","Overall","SBP","5.90%","6.40%","7.00%"
"Linear Regression","Level 3","Genetic","Black","SBP","2.60%","3.20%","4.20%"
"Linear Regression","Level 3","Genetic","Asian","SBP","1.00%","3.80%","6.60%"
"Linear Regression","Level 3","Genetic","White","SBP","7.30%","7.90%","8.80%"
"Linear Regression","Level 3","Genetic","Hispanic/Latino","SBP","4.70%","5.70%","6.70%"
"Linear Regression","csx","Genetic","Overall","SBP","2.80%","3.20%","3.60%"
"Linear Regression","csx","Genetic","Black","SBP","1.00%","1.60%","2.30%"
"Linear Regression","csx","Genetic","Asian","SBP","0.50%","2.80%","4.80%"
"Linear Regression","csx","Genetic","White","SBP","3.20%","4.00%","4.60%"
"Linear Regression","csx","Genetic","Hispanic/Latino","SBP","1.60%","2.30%","3.10%"
"XGBoost","Level 1","Ensemble","Overall","DBP","20.00%","21.20%","21.90%"
"XGBoost","Level 1","Ensemble","Black","DBP","20.70%","23.00%","24.40%"
"XGBoost","Level 1","Ensemble","Asian","DBP","5.70%","12.70%","19.00%"
"XGBoost","Level 1","Ensemble","White","DBP","17.70%","19.70%","20.80%"
"XGBoost","Level 1","Ensemble","Hispanic/Latino","DBP","16.40%","19.00%","20.60%"
"XGBoost","Level 2","Ensemble","Overall","DBP","19.90%","21.10%","21.70%"
"XGBoost","Level 2","Ensemble","Black","DBP","20.10%","22.60%","24.10%"
"XGBoost","Level 2","Ensemble","Asian","DBP","7.10%","14.40%","20.40%"
"XGBoost","Level 2","Ensemble","White","DBP","17.40%","19.20%","20.40%"
"XGBoost","Level 2","Ensemble","Hispanic/Latino","DBP","17.30%","20.00%","21.50%"
"XGBoost","Level 3","Ensemble","Overall","DBP","20.70%","22.00%","22.60%"
"XGBoost","Level 3","Ensemble","Black","DBP","20.90%","23.60%","24.90%"
"XGBoost","Level 3","Ensemble","Asian","DBP","8.40%","14.90%","21.50%"
"XGBoost","Level 3","Ensemble","White","DBP","17.60%","19.60%","20.80%"
"XGBoost","Level 3","Ensemble","Hispanic/Latino","DBP","19.30%","21.90%","23.40%"
"XGBoost","csx","Ensemble","Overall","DBP","18.30%","19.60%","20.30%"
"XGBoost","csx","Ensemble","Black","DBP","21.00%","23.70%","24.60%"
"XGBoost","csx","Ensemble","Asian","DBP","8.20%","14.30%","19.80%"
"XGBoost","csx","Ensemble","White","DBP","14.70%","16.20%","17.30%"
"XGBoost","csx","Ensemble","Hispanic/Latino","DBP","17.20%","19.80%","21.50%"
"Linear Regression","Level 1","Ensemble","Overall","DBP","19.60%","21.00%","21.60%"
"Linear Regression","Level 1","Ensemble","Black","DBP","20.60%","23.10%","24.60%"
"Linear Regression","Level 1","Ensemble","Asian","DBP","7.00%","13.50%","19.10%"
"Linear Regression","Level 1","Ensemble","White","DBP","17.40%","19.30%","20.20%"
"Linear Regression","Level 1","Ensemble","Hispanic/Latino","DBP","16.20%","18.70%","20.30%"
"Linear Regression","Level 2","Ensemble","Overall","DBP","19.80%","21.10%","21.70%"
"Linear Regression","Level 2","Ensemble","Black","DBP","20.90%","23.30%","24.90%"
"Linear Regression","Level 2","Ensemble","Asian","DBP","7.80%","14.30%","19.70%"
"Linear Regression","Level 2","Ensemble","White","DBP","17.10%","19.00%","20.00%"
"Linear Regression","Level 2","Ensemble","Hispanic/Latino","DBP","17.20%","19.70%","21.40%"
"Linear Regression","Level 3","Ensemble","Overall","DBP","20.30%","21.60%","22.20%"
"Linear Regression","Level 3","Ensemble","Black","DBP","21.40%","24.00%","25.50%"
"Linear Regression","Level 3","Ensemble","Asian","DBP","8.40%","14.90%","21.50%"
"Linear Regression","Level 3","Ensemble","White","DBP","17.10%","19.10%","20.10%"
"Linear Regression","Level 3","Ensemble","Hispanic/Latino","DBP","18.80%","21.30%","22.70%"
"Linear Regression","csx","Ensemble","Overall","DBP","18.40%","19.30%","20.30%"
"Linear Regression","csx","Ensemble","Black","DBP","21.10%","23.20%","24.60%"
"Linear Regression","csx","Ensemble","Asian","DBP","8.40%","14.00%","20.00%"
"Linear Regression","csx","Ensemble","White","DBP","14.80%","16.10%","17.50%"
"Linear Regression","csx","Ensemble","Hispanic/Latino","DBP","17.10%","19.30%","21.30%"
